Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220nF","C_0201_0603Metric",40.500000,-16.625000,180.000000,bottom
"C2","220nF","C_0201_0603Metric",40.500000,-15.375000,180.000000,bottom
"C4","1.8nF","C_0201_0603Metric",27.825000,-22.500000,90.000000,bottom
"C5","1.8nF","C_0201_0603Metric",26.825000,-22.500000,90.000000,bottom
"C6","1.8nF","C_0201_0603Metric",25.825000,-22.500000,90.000000,bottom
"C9","1.8nF","C_0201_0603Metric",24.825000,-22.500000,90.000000,bottom
"C10","1.8nF","C_0201_0603Metric",23.825000,-22.500000,90.000000,bottom
"C11","1.8nF","C_0201_0603Metric",22.825000,-22.500000,90.000000,bottom
"C12","100nF","C_0201_0603Metric",43.900000,-9.520000,-90.000000,bottom
"C13","100nF","C_0201_0603Metric",34.000000,-6.250000,90.000000,bottom
"C15","22uF","C_2220_5750Metric",4.000000,-32.500000,90.000000,bottom
"C16","22uF","C_2220_5750Metric",10.200000,-32.500000,90.000000,bottom
"C17","22uF","C_2220_5750Metric",40.000000,-32.500000,90.000000,bottom
"C18","22uF","C_2220_5750Metric",46.000000,-32.500000,90.000000,bottom
"C19","100nF","C_0201_0603Metric",30.400000,-18.200000,-90.000000,bottom
"C20","100nF","C_0201_0603Metric",24.000000,-1.670000,-90.000000,bottom
"C21","100nF","C_0201_0603Metric",27.400000,-8.500000,180.000000,bottom
"C22","100nF","C_0201_0603Metric",22.600000,-6.100000,180.000000,bottom
"C33","1.8nF","C_0201_0603Metric",27.480000,-17.900000,180.000000,bottom
"C34","1.8nF","C_0201_0603Metric",32.300000,-18.980000,90.000000,bottom
"C35","1.8nF","C_0201_0603Metric",29.080000,-20.700000,180.000000,bottom
"C46","1.8nF","C_0201_0603Metric",29.080000,-17.900000,180.000000,bottom
"C47","1.8nF","C_0201_0603Metric",30.400000,-19.620000,-90.000000,bottom
"C48","1.8nF","C_0201_0603Metric",31.320000,-20.700000,0.000000,bottom
"C50","100nF","C_0201_0603Metric",29.000000,-14.900000,90.000000,bottom
"C51","100nF","C_0201_0603Metric",29.000000,-16.500000,-90.000000,bottom
"C52","100nF","C_0201_0603Metric",28.600000,-11.300000,180.000000,bottom
"C53","100nF","C_0201_0603Metric",28.600000,-10.500000,180.000000,bottom
"C54","100nF","C_0201_0603Metric",22.600000,-7.700000,180.000000,bottom
"C55","100nF","C_0201_0603Metric",22.600000,-6.900000,180.000000,bottom
"C56","10uF","C_1210_3225Metric",4.050000,-42.750000,-90.000000,bottom
"C57","10uF","C_1210_3225Metric",18.725000,-41.325000,-90.000000,bottom
"C58","100nF","C_0603_1608Metric",25.000000,-32.500000,90.000000,bottom
"C59","22uF","C_0805_2012Metric",28.000000,-28.500000,0.000000,bottom
"C60","10uF","C_0402_1005Metric",24.000000,-16.600000,0.000000,bottom
"C61","1uF","C_0201_0603Metric",24.200000,-15.700000,0.000000,bottom
"C63","10uF","C_0402_1005Metric",30.700000,-14.900000,90.000000,bottom
"C64","1uF","C_0201_0603Metric",29.800000,-14.900000,90.000000,bottom
"C66","10uF","C_0402_1005Metric",23.720000,-12.500000,0.000000,bottom
"C67","1uF","C_0201_0603Metric",24.200000,-9.300000,0.000000,bottom
"C70","10uF","C_0402_1005Metric",28.120000,-19.700000,180.000000,bottom
"C71","1uF","C_0201_0603Metric",32.200000,-16.500000,90.000000,bottom
"C72","100nF","C_0201_0603Metric",21.000000,-10.900000,90.000000,bottom
"C73","100nF","C_0201_0603Metric",21.000000,-14.100000,-90.000000,bottom
"C74","100nF","C_0201_0603Metric",25.800000,-16.500000,0.000000,bottom
"C75","100nF","C_0201_0603Metric",28.200000,-12.500000,90.000000,bottom
"C76","100nF","C_0201_0603Metric",29.000000,-9.300000,90.000000,bottom
"C77","100nF","C_0201_0603Metric",24.200000,-8.500000,0.000000,bottom
"C78","100nF","C_0201_0603Metric",22.600000,-9.300000,0.000000,bottom
"C79","100nF","C_0201_0603Metric",21.000000,-9.300000,90.000000,bottom
"C80","100nF","C_0201_0603Metric",21.000000,-12.500000,90.000000,bottom
"C81","100nF","C_0201_0603Metric",21.000000,-15.700000,-90.000000,bottom
"C82","100nF","C_0201_0603Metric",22.600000,-15.700000,180.000000,bottom
"C83","100nF","C_0201_0603Metric",27.400000,-16.500000,0.000000,bottom
"C84","100nF","C_0201_0603Metric",28.200000,-14.100000,-90.000000,bottom
"C85","100nF","C_0201_0603Metric",27.400000,-15.700000,0.000000,bottom
"C86","100nF","C_0201_0603Metric",27.400000,-9.300000,180.000000,bottom
"C87","100nF","C_0201_0603Metric",25.800000,-9.300000,180.000000,bottom
"C88","100nF","C_0201_0603Metric",17.400000,-12.900000,90.000000,bottom
"C89","100nF","C_0201_0603Metric",21.000000,-7.700000,-90.000000,bottom
"C90","100nF","C_0201_0603Metric",17.800000,-6.100000,90.000000,bottom
"C91","100nF","C_0201_0603Metric",17.800000,-19.700000,180.000000,bottom
"C92","100nF","C_0201_0603Metric",26.600000,-19.700000,90.000000,bottom
"C93","100nF","C_0201_0603Metric",32.200000,-14.900000,-90.000000,bottom
"C94","100nF","C_0201_0603Metric",32.200000,-5.300000,0.000000,bottom
"C95","10uF","C_1210_3225Metric",45.950000,-42.750000,-90.000000,bottom
"C96","10uF","C_1210_3225Metric",31.275000,-41.350000,-90.000000,bottom
"C97","100nF","C_0603_1608Metric",28.750000,-32.500000,90.000000,bottom
"C98","22uF","C_0805_2012Metric",33.800000,-26.400000,90.000000,bottom
"D1","TPD6E05U06","USON_14",44.400000,-7.000000,0.000000,bottom
"D5","TPD1E04U04","D_0201_0603Metric",48.585000,-44.950000,0.000000,bottom
"D7","TPD1E04U04","D_0201_0603Metric",41.200000,-14.000000,90.000000,bottom
"D8","TPD1E04U04","D_0201_0603Metric",41.200000,-18.000000,-90.000000,bottom
"G1","SYM_LAAS","logo_laas",43.948698,-25.165346,180.000000,bottom
"G2","SYM_PROJECT","logo_OpenHardware",7.000000,-22.000000,180.000000,bottom
"J1","conn_01x04_MountingPins","Hirose_DF13_04P-1.25H_1x04_P1.25mm_Right_angle",47.000000,-16.000000,90.000000,bottom
"J2","conn_01x05_MountingPins","Hirose_DF13_05P-1.25H_1x05_P1.25mm_Right_angle",38.300000,-47.250000,0.000000,bottom
"J3","conn_01x05_MountingPins","Hirose_DF13_05P-1.25H_1x05_P1.25mm_Right_angle",11.700000,-47.250000,0.000000,bottom
"J4","conn_01x08_MountingPins","Molex_FBH1_1x08-2MP_P0.50mm_Horizontal",49.800000,-7.750000,-90.000000,bottom
"J8","ADM6_ADF6","ADF6-10-XX.X-XXX-4-X-A-XR",37.000000,-15.000000,90.000000,bottom
"J9","ADM6_ADF6","ADF6-10-XX.X-XXX-4-X-A-XR",13.000000,-15.000000,90.000000,bottom
"J13","conn_01x02_MountingPins","Hirose_DF13_02P-1.25H_1x02_P1.25mm_Right_angle",25.000000,-47.250000,0.000000,bottom
"J14","conn_01x05_MountingPins","Hirose_DF13_05P-1.25H_1x05_P1.25mm_Right_angle",11.000000,-3.100000,180.000000,bottom
"R5","120","R_0201_0603Metric",41.900000,-16.625000,0.000000,bottom
"R6","120","R_0201_0603Metric",41.900000,-15.375000,0.000000,bottom
"R7","1k","R_0201_0603Metric",27.825000,-24.500000,90.000000,bottom
"R8","1k","R_0201_0603Metric",26.825000,-24.500000,90.000000,bottom
"R9","1k","R_0201_0603Metric",25.825000,-24.500000,90.000000,bottom
"R10","1k","R_0201_0603Metric",24.825000,-24.500000,90.000000,bottom
"R11","1k","R_0201_0603Metric",23.825000,-24.500000,90.000000,bottom
"R12","1k","R_0201_0603Metric",22.825000,-24.500000,90.000000,bottom
"R13","100k","R_0201_0603Metric",44.900000,-9.520000,-90.000000,bottom
"R14","10k","R_0201_0603Metric",34.000000,-9.050000,90.000000,bottom
"R15","10k","R_0201_0603Metric",34.000000,-7.650000,-90.000000,bottom
"R16","10k","R_0201_0603Metric",34.000000,-4.850000,-90.000000,bottom
"R24","100k","R_0402_1005Metric",48.100000,-42.200000,-90.000000,bottom
"R25","5.1k","R_0402_1005Metric",48.610000,-43.950000,0.000000,bottom
"R27","120","R_0201_0603Metric",28.155000,-4.000000,0.000000,bottom
"R28","10k","R_0201_0603Metric",32.500000,-11.800000,-90.000000,bottom
"R36","10k","R_0201_0603Metric",20.600000,-18.500000,180.000000,bottom
"R48","10k","R_0201_0603Metric",21.100000,-29.250000,-90.000000,bottom
"R49","100k","R_0201_0603Metric",20.400000,-31.300000,90.000000,bottom
"R50","2.49k","R_0201_0603Metric",20.400000,-29.890000,90.000000,bottom
"R55","120","R_0201_0603Metric",25.800000,-15.700000,0.000000,bottom
"R56","120","R_0201_0603Metric",21.800000,-10.900000,90.000000,bottom
"R57","10k","R_0201_0603Metric",36.200000,-28.445000,-90.000000,bottom
"R58","909","R_0201_0603Metric",36.200000,-29.890000,90.000000,bottom
"R59","10k","R_0201_0603Metric",9.700000,-11.470000,-90.000000,bottom
"R60","10k","R_0201_0603Metric",3.800000,-10.500000,90.000000,bottom
"R61","10k","R_0201_0603Metric",19.205000,-25.000000,0.000000,bottom
"R63","120","R_0201_0603Metric",22.500000,-34.700000,180.000000,bottom
"R67","10","R_0201_0603Metric",11.930000,-7.800000,180.000000,bottom
"R68","10","R_0201_0603Metric",8.820000,-7.800000,0.000000,bottom
"R79","10k","R_0201_0603Metric",9.750000,-9.205000,-90.000000,bottom
"U4","DSLVDS1047","TSSOP-16_4.4x5mm_P0.65mm",38.600000,-6.600000,0.000000,bottom
"U7","TPS3703-3.3","WSON-6_1.5x1.5mm_P0.5mm",28.200000,-6.500000,90.000000,bottom
"U8","TPS3703-1.2","WSON-6_1.5x1.5mm_P0.5mm",24.600000,-6.900000,0.000000,bottom
"U11","TPSM5601R5","B3QFN_15",17.100000,-31.000000,0.000000,bottom
"U15","TPSM560R6H","B3QFN_15",32.900000,-31.000000,0.000000,bottom
"X1","ECS-TXO-2016","TCXO_SMD_Ecs_TXO-2016-4Pin_2.0x1.6mm",25.500000,-2.000000,-90.000000,bottom
"C3","100nF","C_0201_0603Metric",23.645000,-21.500000,0.000000,top
"C7","100nF","C_0201_0603Metric",25.645000,-21.500000,0.000000,top
"C8","100nF","C_0201_0603Metric",27.645000,-21.500000,0.000000,top
"C14","100nF","C_0201_0603Metric",34.000000,-6.250000,90.000000,top
"C23","100nF","C_0201_0603Metric",33.000000,-2.900000,-90.000000,top
"C24","1uF","C_0402_1005Metric",3.200000,-23.600000,-90.000000,top
"C25","10uF","C_0603_1608Metric",1.500000,-23.500000,-90.000000,top
"C26","100nF","C_0201_0603Metric",1.200000,-21.600000,180.000000,top
"C27","1uF","C_0402_1005Metric",5.270000,-19.200000,0.000000,top
"C28","1uF","C_0201_0603Metric",6.750000,-19.000000,90.000000,top
"C29","47nF","C_0603_1608Metric",2.800000,-20.400000,0.000000,top
"C30","1.8nF","C_0201_0603Metric",4.050000,-25.950000,-90.000000,top
"C31","100nF","C_0201_0603Metric",12.600000,-24.250000,0.000000,top
"C32","1.8nF","C_0201_0603Metric",5.595000,-27.450000,180.000000,top
"C36","1.8nF","C_0201_0603Metric",10.250000,-27.450000,0.000000,top
"C37","1uF","C_0402_1005Metric",38.200000,-23.600000,-90.000000,top
"C38","10uF","C_0603_1608Metric",36.900000,-21.475000,90.000000,top
"C39","100nF","C_0201_0603Metric",35.100000,-22.250000,180.000000,top
"C40","1uF","C_0402_1005Metric",40.500000,-18.900000,-90.000000,top
"C41","1uF","C_0201_0603Metric",41.750000,-19.000000,90.000000,top
"C42","47nF","C_0603_1608Metric",38.450000,-20.350000,90.000000,top
"C43","1.8nF","C_0201_0603Metric",39.050000,-25.950000,-90.000000,top
"C44","100nF","C_0201_0603Metric",48.400000,-24.000000,0.000000,top
"C45","1.8nF","C_0201_0603Metric",40.750000,-27.450000,180.000000,top
"C49","1.8nF","C_0201_0603Metric",45.250000,-27.450000,0.000000,top
"C62","10uF","C_0402_1005Metric",30.400000,-29.000000,0.000000,top
"C65","10uF","C_0402_1005Metric",21.350000,-27.250000,180.000000,top
"C68","1uF","C_0201_0603Metric",30.850000,-25.100000,180.000000,top
"C69","100nF","C_0201_0603Metric",32.500000,-25.100000,0.000000,top
"C99","100nF","C_0201_0603Metric",42.700000,-14.820000,-90.000000,top
"C100","100nF","C_0201_0603Metric",47.200000,-13.180000,90.000000,top
"C101","100nF","C_0201_0603Metric",20.495000,-21.400000,0.000000,top
"C102","100nF","C_0201_0603Metric",18.550000,-24.730000,90.000000,top
"C103","100nF","C_0201_0603Metric",15.700000,-6.360000,90.000000,top
"C104","100nF","C_0201_0603Metric",12.620000,-5.300000,180.000000,top
"C105","100nF","C_0201_0603Metric",19.900000,-27.180000,90.000000,top
"C106","4.7nF","C_0402_1005Metric",6.000000,-42.700000,90.000000,top
"C107","4.7nF","C_0402_1005Metric",13.000000,-42.700000,90.000000,top
"C108","4.7nF","C_0402_1005Metric",19.000000,-42.700000,90.000000,top
"C109","4.7nF","C_0402_1005Metric",31.600000,-42.700000,90.000000,top
"C110","4.7nF","C_0402_1005Metric",36.900000,-42.700000,90.000000,top
"C111","4.7nF","C_0402_1005Metric",43.800000,-42.700000,90.000000,top
"D2","BAT54L","D_SOD-882",45.000000,-9.850000,-90.000000,top
"D3","TPD6E05U06","USON_14",44.400000,-7.000000,180.000000,top
"D4","NeoPixel_1515_SK6805","NeoPixel_SK6805_1.5x1.5mm",9.000000,-15.500000,90.000000,top
"D6","LED GREEN","LED_0402_1005Metric",29.500000,-2.115000,90.000000,top
"D9","LED RED","LED_0402_1005Metric",14.600000,-24.375000,-90.000000,top
"D10","LED RED","LED_0402_1005Metric",48.000000,-20.885000,90.000000,top
"D11","ESD321","D_0402_1005Metric",12.500000,-6.750000,0.000000,top
"D12","ESD321","D_0402_1005Metric",10.115000,-6.750000,180.000000,top
"D13","NeoPixel_1515_SK6805","NeoPixel_SK6805_1.5x1.5mm",15.250000,-27.000000,-90.000000,top
"D14","NeoPixel_1515_SK6805","NeoPixel_SK6805_1.5x1.5mm",33.500000,-27.000000,-90.000000,top
"FB1","220R@100MHz","L_0603_1608Metric",28.000000,-27.000000,90.000000,top
"FB2","220R@100MHz","L_0603_1608Metric",29.500000,-27.000000,90.000000,top
"FB3","220R@100MHz","L_0603_1608Metric",23.000000,-27.000000,90.000000,top
"J5","conn_01x08_MountingPins","Molex_FBH1_1x08-2MP_P0.50mm_Horizontal",49.800000,-7.750000,90.000000,top
"J6","Conn_01x02","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal",25.000000,-38.500000,180.000000,top
"J7","Conn_02x04_Odd_Even","PinSocket_2x04_P1.27mm_Vertical",40.000000,-1.400000,90.000000,top
"J10","Conn_01x03","AMASS_MR30PW-FB_1x03_P3.50mm_Horizontal",11.700000,-40.975000,180.000000,top
"J11","Conn_01x03","AMASS_MR30PW-FB_1x03_P3.50mm_Horizontal",38.300000,-40.975000,180.000000,top
"J12","Conn_01x10","Hirose_DF13-10P-1.25DSA_1x10_P1.25mm_Vertical",2.550000,-17.525000,90.000000,top
"J15","USB_B_Micro","USB_Micro-B_Molex-105017-0001",11.000000,-2.437500,180.000000,top
"J16","Conn_01x02","PinHeader_1x02_P1.27mm_Vertical",23.150000,-33.700000,-90.000000,top
"Q1","NX7002BKM","Diodes_DFN1006-3",31.500000,-1.000000,180.000000,top
"Q2","CSD88599Q5DC","VSON_CLIP_22",3.800000,-35.600000,90.000000,top
"Q3","CSD88599Q5DC","VSON_CLIP_22",10.400000,-35.600000,90.000000,top
"Q4","CSD88599Q5DC","VSON_CLIP_22",17.000000,-35.600000,90.000000,top
"Q5","CSD88599Q5DC","VSON_CLIP_22",33.000000,-35.600000,90.000000,top
"Q6","CSD88599Q5DC","VSON_CLIP_22",39.600000,-35.600000,90.000000,top
"Q7","CSD88599Q5DC","VSON_CLIP_22",46.200000,-35.600000,90.000000,top
"R1","10k","R_0201_0603Metric",18.180000,-3.800000,0.000000,top
"R2","10k","R_0201_0603Metric",21.180000,-3.800000,0.000000,top
"R3","10k","R_0201_0603Metric",24.180000,-3.800000,0.000000,top
"R4","10k","R_0201_0603Metric",27.180000,-3.800000,0.000000,top
"R17","1k","R_0201_0603Metric",44.000000,-10.520000,-90.000000,top
"R18","100","R_0201_0603Metric",42.800000,-8.600000,-90.000000,top
"R19","100","R_0201_0603Metric",42.800000,-7.200000,90.000000,top
"R20","100","R_0201_0603Metric",42.800000,-5.800000,-90.000000,top
"R21","10k","R_0201_0603Metric",34.000000,-4.850000,-90.000000,top
"R22","10k","R_0201_0603Metric",34.000000,-7.650000,-90.000000,top
"R23","10k","R_0201_0603Metric",34.000000,-9.050000,90.000000,top
"R26","10k","R_0201_0603Metric",30.280000,-3.800000,180.000000,top
"R29","10k","R_0201_0603Metric",33.000000,-1.100000,-90.000000,top
"R30","120","R_0201_0603Metric",30.830000,-2.600000,0.000000,top
"R31","0.005","FC4L32",3.400000,-31.100000,90.000000,top
"R32","0.005","FC4L32",11.300000,-31.100000,90.000000,top
"R33","120","R_0201_0603Metric",12.100000,-26.070000,90.000000,top
"R34","120","R_0201_0603Metric",12.900000,-25.570000,90.000000,top
"R35","120","R_0201_0603Metric",13.700000,-25.070000,90.000000,top
"R37","1k","R_0201_0603Metric",13.700000,-23.570000,-90.000000,top
"R38","10k","R_0201_0603Metric",14.020000,-22.500000,0.000000,top
"R39","0.005","FC4L32",16.600000,-31.100000,90.000000,top
"R40","0.005","FC4L32",33.875000,-31.100000,90.000000,top
"R41","0.005","FC4L32",39.200000,-31.100000,90.000000,top
"R42","120","R_0201_0603Metric",47.100000,-26.070000,90.000000,top
"R43","120","R_0201_0603Metric",47.900000,-25.570000,90.000000,top
"R44","120","R_0201_0603Metric",48.700000,-25.070000,90.000000,top
"R45","1k","R_0201_0603Metric",48.000000,-22.930000,90.000000,top
"R46","10k","R_0201_0603Metric",48.875000,-22.930000,90.000000,top
"R47","0.005","FC4L32",47.100000,-31.100000,90.000000,top
"R51","100k","R_0201_0603Metric",26.520000,-28.100000,180.000000,top
"R52","22.1k","R_0201_0603Metric",26.200000,-29.320000,-90.000000,top
"R53","100k","R_0201_0603Metric",21.520000,-28.100000,180.000000,top
"R54","100k","R_0201_0603Metric",21.200000,-29.320000,-90.000000,top
"R62","4.7","R_0805_2012Metric",2.000000,-27.000000,-90.000000,top
"R64","4.7","R_0805_2012Metric",8.400000,-29.900000,-90.000000,top
"R65","10k","R_0201_0603Metric",18.100000,-21.400000,0.000000,top
"R66","10k","R_0201_0603Metric",16.595000,-21.400000,180.000000,top
"R69","4.7","R_0805_2012Metric",6.300000,-29.900000,-90.000000,top
"R70","2.2","R_0805_2012Metric",3.800000,-43.500000,0.000000,top
"R71","2.2","R_0805_2012Metric",10.800000,-43.500000,0.000000,top
"R72","2.2","R_0805_2012Metric",16.800000,-43.500000,0.000000,top
"R73","4.7","R_0805_2012Metric",37.100000,-27.000000,-90.000000,top
"R74","2.2","R_0805_2012Metric",33.800000,-43.500000,180.000000,top
"R75","4.7","R_0805_2012Metric",42.100000,-29.900000,-90.000000,top
"R76","2.2","R_0805_2012Metric",39.100000,-43.500000,180.000000,top
"R77","4.7","R_0805_2012Metric",44.200000,-29.900000,-90.000000,top
"R78","2.2","R_0805_2012Metric",46.000000,-43.500000,180.000000,top
"SW1","B3U-3100P-B","SW_SPST_B3U-1000P-B",36.000000,-2.000000,180.000000,top
"U1","74LVC2G17","SOT886_USON_6_1.45x1.0mm_P0.5mm",23.325000,-22.700000,90.000000,top
"U2","74LVC2G17","SOT886_USON_6_1.45x1.0mm_P0.5mm",25.325000,-22.700000,90.000000,top
"U3","74LVC2G17","SOT886_USON_6_1.45x1.0mm_P0.5mm",27.325000,-22.700000,90.000000,top
"U5","DSLVDS1048","TSSOP-16_4.4x5mm_P0.65mm",38.600000,-6.600000,180.000000,top
"U6","TMS320F28388D","NFBGA_337",25.000000,-12.500000,90.000000,top
"U9","DRV8353S","QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm",8.000000,-23.500000,0.000000,top
"U10","DRV8353S","QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm",43.000000,-23.500000,0.000000,top
"U12","MPM3804GG","QFN-10_2x2mm_P0.5mm",28.000000,-30.000000,90.000000,top
"U13","MPM3804GG","QFN-10_2x2mm_P0.5mm",23.000000,-30.000000,90.000000,top
"U14","LT6654AIS6-3","TSOT-23-6",30.500000,-23.000000,0.000000,top
"U16","BMI088","Bosch_LGA-16_4.5x3.0mm_P0.5mm",45.000000,-14.000000,0.000000,top
"U17","TCAN330G","SOT-23-8",20.500000,-23.650000,-90.000000,top
"U18","THVD24x0","VSON-8-1EP_3.0x3.0mm_P0.65mm_EP1.65x2.4mm",16.600000,-23.650000,-90.000000,top
"U19","74LVC2G17","SOT886_USON_6_1.45x1.0mm_P0.5mm",14.600000,-6.680000,0.000000,top
"U20","TS3USB221E","UQFN-10_1.5x2mm_P0.5mm",18.250000,-27.500000,-90.000000,top
